PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
115000,1741715757.3921788,84.989,74,14.843643000000156,73.0,28.000000000000004,2355,9757.958984375,69.970703125
115000,1741715759.489665,52.147,73,14.985020000000304,7.000000000000001,1.0,2310,11006.005859375,90.966796875
115000,1741715761.5678048,79.052,75,15.15485300000023,48.0,14.000000000000002,1950,58.10546875,118.896484375
115000,1741715763.6411595,80.885,77,15.31390400000032,57.99999999999999,18.0,2355,5905.224609375,32.080078125
115000,1741715765.7204401,79.225,74,15.47917200000029,65.0,21.0,1980,9149.51171875,152.294921875
115000,1741715767.7882307,80.771,77,15.647992000000158,53.0,16.0,2250,49.70703125,67.236328125
115000,1741715769.8638864,80.881,74,15.812800000000152,57.99999999999999,18.0,2355,11027.099609375,39.6484375
115000,1741715771.9340308,77.549,77,15.9701120000002,65.0,21.0,2355,3279.443359375,36.42578125
115000,1741715774.0031896,78.8,74,16.13546700000029,56.99999999999999,18.0,2070,9940.966796875,102.34375
115000,1741715776.0745668,80.919,76,16.305889000000207,52.0,15.0,1995,47.36328125,94.482421875
115000,1741715778.303756,56.993,71,16.447477000000163,0.0,0.0,2355,0.1953125,0.048828125
