PID,PowerCap,Time,Power (W),Temperature (C),Energy (J),GPU Utilization (%),Memory Utilization (%),Frequency,PCIe TX (KB/s),PCIe RX (KB/s)
11.0,85000,1740636578.7349858,84.977,72,2.2156009999998787,100.0,65.0,1380,45.703125,155.322265625
11.0,85000,1740636579.8005505,84.891,71,2.2994109999999637,100.0,64.0,1410,60.05859375,143.06640625
11.0,85000,1740636580.8638942,84.892,71,2.3912840000000415,100.0,65.0,2190,28.90625,14137.451171875
11.0,85000,1740636581.92845,84.374,71,2.482862999999952,100.0,85.0,1560,32.71484375,136.865234375
11.0,85000,1740636582.9938543,84.437,72,2.5664480000000367,100.0,82.0,1500,35.986328125,139.501953125
11.0,85000,1740636584.0536523,84.527,72,2.658533999999918,100.0,89.0,1365,35.986328125,134.47265625
11.0,85000,1740636585.1180043,84.501,71,2.7504529999998795,100.0,86.0,1665,42.3828125,142.822265625
11.0,85000,1740636586.1834905,84.563,71,2.834963000000016,100.0,87.0,1680,34.08203125,144.970703125
11.0,85000,1740636587.250445,84.998,72,2.9274109999998927,100.0,64.0,1380,41.40625,152.587890625
11.0,85000,1740636588.3167307,84.907,72,3.019896000000017,100.0,64.0,1410,41.69921875,171.38671875
11.0,85000,1740636589.3827152,84.968,72,3.1045480000000225,100.0,64.0,1380,38.76953125,155.029296875
11.0,85000,1740636590.458949,84.965,72,3.1974749999999403,100.0,65.0,1350,59.86328125,152.783203125
11.0,85000,1740636591.5449047,84.982,72,3.290328999999929,100.0,65.0,1350,60.15625,153.662109375
11.0,85000,1740636592.6034074,84.754,72,3.37294699999984,94.0,74.0,1260,32.275390625,137.646484375
11.0,85000,1740636593.6652358,84.538,71,3.4652849999999944,100.0,90.0,1485,35.05859375,136.669921875
11.0,85000,1740636594.73488,84.589,72,3.557506999999987,100.0,85.0,1320,48.14453125,136.083984375
11.0,85000,1740636595.8156958,84.62,72,3.649054999999862,100.0,87.0,1380,75.146484375,132.275390625
11.0,85000,1740636596.8793378,84.311,72,3.733036999999967,100.0,85.0,1365,34.619140625,141.9921875
11.0,85000,1740636597.9427989,84.413,72,3.82549199999994,100.0,89.0,1605,33.056640625,144.3359375
11.0,85000,1740636599.007176,84.922,72,3.9098050000000057,100.0,62.0,1260,42.919921875,152.978515625
11.0,85000,1740636600.0712168,84.901,72,4.002072999999882,100.0,63.0,1320,37.646484375,151.123046875
11.0,85000,1740636601.1322896,84.901,72,4.094137000000046,100.0,63.0,1320,40.771484375,152.685546875
11.0,85000,1740636602.2120292,84.853,72,4.185970999999881,100.0,63.0,1335,61.62109375,152.978515625
